id;voucher_id;specimen_id;error_type_id;error_type_code;category_id;discussion_available;notes
255;B100766600;;1;1;0;0;
256;B 10 1185052;;3;3a;9;0;Falsch lokalisiert, über 460km Abweichung vom beschriebenen Fundort, die Karte auf Beleg mit eingezeichnetem Fundort, die Beschreibung und die Suche nach Otjiwero führt zu korrekt: „-17.9164, 13.3903'', auch Validierungsproblem zw. Region und Koordinaten
257;B 10 1185052;;10;8a;9;0;Widerspruch falsche Koordinaten, korrekte Region
258;B 10 0013020;;1;1;0;0;
259;B 10 1178384;;7;5;4;0;Unentscheidbar, Leitfadenlücke, Herbonauten haben prinzipiell richtig agiert, da im Wiki keine Anleitung für den Umgang mit Fragezeichen hinter Informationen vorliegt, hier Sammler und Datum betroffen, kein altes Etikett vorhanden, Antwort Herbar: „Datum und Sammler sind jeweils mit Fragezeichen aufzunehmen“
260;B 10 1178384;;7;5;5;0;Unentscheidbar, Leitfadenlücke, Herbonauten haben prinzipiell richtig agiert, da im Wiki keine Anleitung für den Umgang mit Fragezeichen hinter Informationen vorliegt, hier Sammler und Datum betroffen, kein altes Etikett vorhanden, Antwort Herbar: „Datum und Sammler sind jeweils mit Fragezeichen aufzunehmen“
261;B100650178;;1;1;0;1;
262;B100010349;;7;5;4;0;Unentscheidbar, nichts über eine Person namens M. Welt zu finden, allerdings gibt es in JACQ zwei Belegen von M. Welten, gesammelt in der Schweiz 1968, Vincetoxikum
263;B101129740;;7;5;9;0;Unentscheidbar, Leitfadenlücke, der Ort Baboua (Babua) liegt ca. 5km vom Fluss Mambéré entfernt (alles im Bereich von 1000m Höhe), allerdings sind die auf dem Etikett angegebenen Koordinaten 67km nördlich davon und 20km vom Fluss entfernt, das könnte auf Ungenauigkeiten bei der Bestimmung von Koordinaten damals hindeuten. Nach der Fundortbeschreibung erscheint Babua/Flussnähe/Galeriewald auch logischer. Dies hat auch ein Herbonaut so gesehen, allerdings haben zwei eben auch den nördlicheren Ort nach den Koordinaten auf dem Etikett genommen. Hier wäre die Frage, ob es eine Art Leitfaden braucht für solche Fälle, wo klar ist, dass die damalige Bestimmung der Koordinaten vielleicht etwas ungenau war?
264;B 10 1064103;;2;2;6;0;Bestimmer korrekt: „ELL“ (= Elbert L. Little), wurde nicht eingetragen, steht eindeutig auf Etikett oben rechts
265;B101071572;;4;3b;9;1;Unnötig lokalisiert, Geolokation nicht möglich, da zwei Orte auf Etikett, die weit auseinander liegen, siehe Diskussion und die Info, dass die meisten Herbonauten „mehrere Belege mit widersprüchlichen Angaben“ gewählt haben, korrekt: „Beleg kann nicht lokalisiert werden“
266;B101071572;;11;8b;9;1;Vorrangfrage und Widerspruch, „Unbrauchbar – Mehrere Belege mit widersprüchlichen Angaben“ wurde 4 mal gewählt, 2 mal unnötig eingegebenen Koordinaten (und auch Fundort) werden dennoch validiert, (die anderen Kategorien stimmen, obwohl insgesamt „Unbrauchbar“ ausgereicht hätte)
267;B 30 0318034;;1;1;0;0;Mittelwertbildung der Geokoordinaten führt dazu, dass sehr genaue Lokalisierung abgeschwächt wird, Validierungsproblem vielleicht
268;B101213650;;1;1;0;0;
269;B101212964;;1;1;0;0;
270;B 10 1063277;;1;1;0;1;
271;B 10 1040750;;1;1;0;1;
272;B 10 0528481;;1;1;0;1;bei Google Maps liegen die Koordinaten 500m von der Grenze der Region entfernt in einer anderen Region, auf OpenTopo liegt es in der richtigen Region
273;B100704513;;1;1;0;0;
274;B101212083;;1;1;0;1;Vorzeigediskussion
275;B 10 1175959;;1;1;0;0;
276;B101212877;;1;1;0;0;
277;B 10 1181056;;9;7;2;0;Region ist aktuell „GR-C Westmakedonien (Dytikí Makedonía)“
278;B 30 0317906;;2;2;4;0;Sammlername korrekt: „Muhle“ (= Hermann Muhle), nicht „Mühle“
279;B 30 0317906;;9;7;2;0;Region ist aktuell „FR-GES Grand Est“
280;B 30 0313949;;1;1;0;0;
281;B100648868;;1;1;0;0;
282;B 10 1177795;;3;3a;9;0;Falsch lokalisiert, die Koordinaten liegen 450km Luftlinie von Mt. Omei = Emei Mountain entfernt und nicht in der angegebenen Region. korrekt, Mt. Omei: „29.52287, 103.33626“
283;B 10 1177795;;10;8a;9;0;Widerspruch falsche Koordinaten, korrekte Region
284;B 10 1021421;;2;2;4;0;Sammlername korrekt: „Magalhães“ (= Alberto Augusto de Magalhães Gomes), eindeutig auf Etikett, wurde nur einmal eingetragen
285;B 10 1021421;;13;10;7;0;Wiki: Habitatsbeschreibungen gehören mit in den Fundort. Habitat „Ofloramento de rocha„ (= Felsvorsprung) fehlt
286;B 10 1021421;;13;10;8;0;Wiki: Institutionelles Herbar ist angegeben, Sammler/in ist angegeben/ nicht angegeben -> Kein Eintrag im Feld „Herbar von“ 
287;B 10 0520548;;1;1;0;0;
288;B101123098;;1;1;0;0;
289;B 10 1028157;;2;2;2;0;Region sollte entweder „AL-KA Kavajë“ (die Gemeinde ) oder bevorzugt seit 2000 „AL-TR Tiranë“ (die Präfektur/Qark) sein, nicht „AL-DR Durrës“
290;B 10 1028157;;10;8a;2;0;Widerspruch falsche Region, korrekte Koordinaten
291;B 30 0312156;;7;5;3;0;"Unentscheidbar, Jahr wahrscheinlich falsch, denn 1808 ist wohl eher eine Sammelnummer als das Jahr, da Sammler Hampe um 1808 gerade mal 13 Jahre alt war, Herbar Antwort:  „Schwierig, kann auch mit 13 schon gesammelt haben. Dass die Sammelnummer hinter dem Namen steht ist, glaube ich, erst in den letzten Jahrzehnten ""meist"" der Fall. Um sicher zu gehen, müßte man sich andere Belege ""von Hampe gesammelt"" anschauen bzw.  sich mit seiner Biografie näher beschäftigen.“ ,Fazit: es gibt so gut wie keine Belege von Hampe mit Datum und Jahr, außerdem das junge Alter nach Recherche bei Wikipedia hat er sich erst später mit dem Harz befasst: „1825 übernahm Hampe die örtliche Apotheke in Blankenburg, die er bis 1864 leitete. Während seiner Zeit in Blankenburg beschäftigte er sich vorwiegend mit dem Sammeln von Pflanzendrogen und der Harzflora.“ "
292;B101212609;;1;1;0;0;
293;B 30 0314368;;9;7;2;0;Region ist aktuell „IT-34 Veneto“
294;B 30 0314368;;13;10;6;0;Wiki: Ergänzungen, wie z.B. den kompletten Namen tragen Sie bitte NICHT in eckigen Klammern in das Feld, sondern nur in den Diskussionen ein
295;B 30 0314368;;11;8b;6;0;Vorrangfrage, erste Eingabe inkorrekt und validiert, zweite Eingabe ist korrekt (ohne die Ergänzung in eckigen Klammern)
296;B 30 0316281;;9;7;2;0;Region ist aktuell „IT-88 Sardegna“
297;B 30 0316281;;13;10;7;0;Wiki: Habitatsbeschreibungen gehören mit in den Fundort. Habitat „Juniperus Restbestände inmitten von Weideflächen, epiphytisch“ fehlt
298;B 10 1174041;;1;1;0;0;
299;B101125174;;1;1;0;0;
300;B 30 0316622;;9;7;2;0;Region ist aktuell „FR-GES Grand Est“
301;B101073256;;8;6;7;0;Tippfehler im Flussname: „Botlete“statt „Botletle“ [=Boteti River]
302;B 10 1039016;;1;1;0;0;
303;B 10 1067224;;1;1;0;1;
304;B101125072;;1;1;0;0;
305;B101122870;;1;1;0;0;
306;B101123744;;1;1;0;1;
307;B 10 1026003;;1;1;0;1;
308;B 10 1064137;;1;1;0;0;
309;B101027944;;1;1;0;1;
310;B 10 1176433;;1;1;0;0;
311;B100776031;;1;1;0;0;
312;B 30 0319762;;1;1;0;0;
313;B 10 0754848;;1;1;0;0;
314;B 10 0046547;;1;1;0;1;Der Hinweis bei der Diskussion ist korrekt. Man hätte die Koordinaten des angegebenen Berges (13km entfernt von der Etikettenangabe) notieren können, da er eindeutig zu finden ist, dann würde auch die Höhenangabe stimmen.
315;B 10 1184983;;1;1;0;1;Die in der Diskussion angegebenen Koordinaten sind verwirrend, die validierten sind halbwegs korrekt. Ganz genau liegt die Farm hier: S 28° 54′ 55'' E 30° 26′ 33'', siehe Link: https://www.geonames.org/960572/roode-bok-vlakte.html 
316;B 30 0316873;;9;7;2;0;Region ist aktuell „FI-14 Pohjois-Pohjanmaa“ (die gewählte Region ist veraltet, aber war auch falsch!)
317;B 10 1040789;;1;1;0;0;
318;B101127230;;1;1;0;0;
319;B101125320;;1;1;0;0;
320;B 30 0314620;;1;1;0;0;
321;B101125235;;1;1;0;0;
322;B 10 1183209;;13;10;4;1;Wiki: Ergänzungen, wie z.B. den kompletten Namen tragen Sie bitte NICHT in eckigen Klammern in das Feld, sondern nur in den Diskussionen ein 
323;B100531380;;1;1;0;0;
324;B101071577;;1;1;0;1;
325;B101199955;;1;1;0;0;
326;B101200212;;2;2;3;0;Tag und Monat falsch eingetragen, korrekt: 7. Juli 1922 sein, siehe auch folgender Beleg zu Bornmüller am selben Datum: https://www.jacq.org/detail.php?ID=1727933
327;B101199450;;1;1;0;1;
328;B 30 0313516;;1;1;0;0;
329;B101200057;;1;1;0;0;
330;B 10 1028282;;1;1;0;0;
331;B 10 1175887;;1;1;0;0;
332;B 10 1183174;;4;3b;9;1;Unnötig lokalisiert, Geolokation nicht möglich, sowohl Farm Elmeston als auch Vaalswater lassen sich gut lokalisieren, dazwischen liegen um die 70 km, die eingegebenen Koordinaten liegen auch nicht auf der Strecke zwischen den beiden Orten, trotz Hinweis in der Diskussion, (https://mapcarta.com/14357196), außerdem Genaugikeit <5 km ist fragwürdig, korrekt: „Beleg kann nicht lokalisiert werden“
333;B 10 1179518;;1;1;0;0;Willdenowia-Artikel zum Herbar von Berg könnte man im Wiki mit aufnehmen, da Hinweise auf Fundorte, die auf den Etiketten schlecht lesbar sind. Siehe E-Mail R. Vogt 18.5.2024
334;B 10 1181977;;1;1;0;0;
335;B 10 1183898;;13;10;7;0;Wiki: Handelt es sich um eine kultivierte Pflanze, geben Sie zusätzlich zum Fundort der kultivierten Pflanze, falls auf dem Etikett vorhanden, den Fundort, Sammler*in und Sammeldatum der Wildherkunft in eckigen Klammern mit [Wildherkunft:] an. Richtig wäre also [Wildherkunft: Siam, Hosseus, 1906] Nicht: h. Dahlem. Heimat: Siam (Hosseus 1906)
336;B 10 0643688;;1;1;0;0;
337;B 10 1178616;;6;4;7;0;Etikettentitel „Flora Hispanica“ und Region „Prov. Teruel“ im Fundort überflüssig 
338;B 30 0313732;;9;7;2;0;Region ist aktuell „FR-GES Grand Est“
339;B 30 0312640;;1;1;0;0;
340;B101199421;;4;3b;9;0;Unnötig lokalisiert, < 20 km gewählt, nicht besser möglich, Koordinaten nicht nachvollziehen, auch nach ausführlicher Recherche nicht, die Südseite des Gebirges ist lang und Dschanarttal nicht auffindbar
341;B100013065;;1;1;0;0;
342;B 10 1026558;;2;2;7;0;Teil des Textes „silvas formans“ (bilden Wälder) wurde falsch entziffert, als „silas formaus“, und ist dazu wahrscheinlich überflüssig im Fundort
343;B 10 1006681;;1;1;0;1;Vorzeigediskussion
344;B101196831;;1;1;0;1;
345;B 10 1027802;;1;1;0;0;
346;B 10 0310390;;9;7;2;1;Region ist aktuell „GR-I Attika (Attikí)“, wie auch in der Diskussion beschrieben
347;B101212483;;1;1;0;0;
348;B 10 1027258;;1;1;0;0;
349;B 10 1064635;;14;11;9;0;Externer Ressourcenfehler: die Grenzverläufe von der Region Independencia sind unterschiedlich, in OpenTopo liegen die gewählten Koordinaten in der falschen Region, bei Google Maps in der richtigen, Herbonauten haben die Koordinaten vom Etikett korrekt übertragen, Validierung zwischen Region und Koordinaten hätte hier zwar warnen können, jedoch ist das Problem der unterschiedlichen Grenzverläufe nicht von uns lösbar
350;B 10 0424356;;2;2;4;0;Sammler unvollständig, „Flauger, G.“ fehlt
351;B101066379;;1;1;0;1;
352;B100548135;;4;3b;9;1;Unnötig lokalisiert, zu widersprüchliche Angaben, Fundortbeschreibung nicht gut beachtet, die Quellen des Flusses liegen laut Wikipedia hier: „65.206785, 147.72289“, von 2 Herbonauten wurde das Mündungsgebiet des Flusses 150km Luftlinie entfernt geolokalisiert. Alle anderen haben sich zurückgehalten und nur eine Region (die, wo auch das Gebirge liegt) eingetragen. In der Diskussion gibt es einen Hinweis darauf, dass die Koordinaten im Quellgebiet liegen sollten, auf dem Etikett wird dies auch angegeben.  Allerdings würde die Flussquelle mit der Region nicht passen. Die ausgewählte Region passt zum Gebirge, aber nicht zum Fluss (weder Mündung noch Quelle), zu widersprüchlich, deshalb eher keine Koordinaten auswählen bzw. eine Diskussion darüber starten. Auch Validierungsproblem zwischen Region und Koordinaten.
353;B100548135;;10;8a;9;1;Widerspruch falsche Koordinaten, korrekte Region
354;B 10 0194332;;1;1;0;0;
355;B101027987;;2;2;4;0;Sammlername korrekt: „keine Information“, da nicht auf Beleg, es wurde der Übersender als Sammler eingetragen. Dazu Antwort Herbar: Der JACQ-Eintrag wäre unter voucher: photo, unter locality: Cultivated in South Africa, KwaZulu-Natal, Durban, unter collector: unknown, date: s.d., coll. number: s.n. 
356;B101096531;;2;2;2;1;Region sollte nicht gewählt werden, unentscheidbar, „TZ-01 Arusha“ oder „TZ-26 Manyara“ oder sollte gut begründet werden, aber auf keinen Fall ist es die mehrfach eingegebene Region „TZ-25 Tanga“, die man sonst von A.Peter‘s Reisen kennt. Trotz aufschlussreiche Diskussion, bleibt Region falsch. Die Maasai Steppe ist Teil mehrerer Regionen Tanzanias (Arusha und Manyara), an deren Grenze sich auch der Fluss Kikuletwa befindet. Links: https://www.awf.org/where-we-work/maasai-steppe, https://mapcarta.com/12660766, siehe auch Diskussion unter den Herbonauten.
357;B 10 0029202;;13;10;8;1;Wiki: Institutionelles Herbar ist angegeben, Sammler/in ist angegeben/ nicht angegeben -> Kein Eintrag im Feld „Herbar von“ 
358;B 10 0029202;;3;3a;9;1;Fehlerhaft übertragen, Long und Lat vertauscht, Koordinaten zeigen dadurch auf falsches Land, siehe Validierungsproblem
359;B 10 0029202;;10;8a;9;1;Widerspruch falsche Koordinaten, korrekte Region und korrektes Land (siehe auch 2. Validierungsproblem)
360;B 10 0029202;;11;8b;9;1;Mehrheitsproblem und Vorrangfrage, die Ersteingabe Koordinaten war korrekt, dennoch wurden die danach mehrfach falschen Koordinaten (Lat/Long vertauscht)validiert, siehe dazu im Gegensatz B101071297
361;B 10 1175480;;1;1;0;1;
362;B 10 0013441;;1;1;0;1;wie ein Straßenbaum zu behandeln, also eine Pflanze, die offenbar kultiviert ist, in Nairobi in der Stadt steht, aber ursprünglich eben aus Amerika stammt
363;B 10 0557789;;2;2;4;0;Sammler zu viel eingetragen, korrekt: „J. Četina“, Erläuterung: „comm. L. Derganc“ deutet darauf hin, dass dieser mitgeteilt/übergeben/überbracht hat (siehe Wiki), aber i.d.R. ist nicht der Sammler ist, dieser ist hier explicit mit „leg.“ gekennzeichnet, zusätzlich „L. Derganc“ falsch geschrieben
364;B100010898;;1;1;0;0;
365;B101200021;;1;1;0;0;
366;B101122318;;1;1;0;1;
367;B 30 0310369;;6;4;7;0;Land im Fundort überflüssig
368;B 30 0310369;;9;7;2;0;Region ist aktuell „FR-GES Grand Est“
369;B 30 0310369;;11;8b;7;0;Vorrangfrage, erste Eingabe inkorrekt und validiert, zweite Eingabe ist korrekter (Text entziffert, keine Fragezeichen und Klammern)
370;B100161687;;1;1;0;0;
371;B 10 1062775;;13;10;9;0;Wiki: Die Übertragung von Koordinaten von Institutionen (z.B. botanische Gärten) und auch privaten Gärten ist explizit nicht vorgesehen.
372;B 10 1161242;;9;7;2;1;Region ist aktuell „CD-HK  Haut-Katanga“
373;B 10 1161242;;3;3a;9;1;Nicht lokalisiert, obwohl der Ort sehr einfach bei Google Maps zu finden ist, eine Person hat dies auch gemacht, Korrekt: „-10.5112, 27.5447“
374;B 10 1161242;;11;8b;9;1;Mehrheitsproblem, „Beleg kann nicht lokalisiert werden“ mehrfach gewählt, nur 1 mal korrekt gefundene Koordinaten werden nicht validiert
375;B101072246;;1;1;0;0;
376;B101200032;;1;1;0;0;
377;B 30 0317344;;1;1;0;0;
378;B101213570;;1;1;0;0;
379;B101126737;;1;1;0;0;
380;B 10 1068686;;1;1;0;0;
381;B109008957;;1;1;0;0;
382;B 10 1064003;;1;1;0;0;
383;B101200518;;2;2;5;0;Herbarnummer als Sammelnummer eingetragen, korrekte Sammelnummer ist „2631“
384;B101200518;;14;11;10;0;Externer Ressourcenfehler: doppelte/inkorrekte Einträge in der Quellliste, wahrscheinlich ist „Alnus hirsuta (Spach) Rupr.“ der richtige Name, aber „Alnus hirsuta Turcz.“ steht auch zur Auswahl
385;B 30 0313213;;9;7;2;0;Region ist aktuell „FR-BFC Bourgogne-Franche-Comté“
386;B101199731;;13;10;4;1;Wiki: Ergänzungen, wie z.B. den kompletten Namen tragen Sie bitte NICHT in eckigen Klammern in das Feld, sondern nur in den Diskussionen ein
387;B101213057;;1;1;0;0;
388;B 30 0319487;;1;1;0;0;
389;B101196766;;1;1;0;0;
390;B 10 1183205;;1;1;0;0;
391;B101072100;;1;1;0;1;OFFENE FRAGE – korrekte Eingabe, aber Frage ergibt sich aus Diskussion: Handschrift und Land erkannt, sollte man das eingeben oder egal bei unbrauchbaren Belegen? Antwort Herbar: „Dinter, Namibia kommt hin, sollte in [] angegeben werden, weil es Interpretation ist und nicht auf dem Beleg steht“, WIDERSPRUCH: laut Wiki keine eckigen Klammern bei Sammler, etc. - wohin dann mit dieser Information? Muss das im Wiki nochmal klarer gemacht werden und was nützen eckige Klammern in der Diskussion, wenn sie am Ende keine Beachtung findet?
392;B101200456;;1;1;0;0;
393;B 30 0314634;;13;10;7;0;Wiki: Habitatsbeschreibungen gehören mit in den Fundort. Habitat „Taludes sobre granitos“ fehlt im Fundort, schönes Beispiel für Blödsinn, siehe Fundort-Geolok: man leitet was mit Käseladen aus falsch gelesenem Fundort ab
394;B 10 0752915;;13;10;4;0;Wiki: Ergänzungen, wie z.B. den kompletten Namen tragen Sie bitte NICHT in eckigen Klammern in das Feld, sondern nur in den Diskussionen ein
395;B 10 1067494;;1;1;0;1;
396;B101097011;;1;1;0;0;
397;B 10 0432416;;1;1;0;0;
398;B 30 0310100;;1;1;0;0;100-Jahr-Fehler beim barcode Check korrekt
399;B100013080;;9;7;2;0;Region ist aktuell „MG-6 Anosy“
400;B 30 0318641;;1;1;0;0;100-Jahr-Fehler beim barcode Check korrekt
401;B 10 1178133;;2;2;2;0;Region falsch, korrekt: „GR-B Zentralmakedonien (Kentrikí Makedonía)“ (existier seit 1986 und ist seit 2019 im System, Beleg wurde 2020 bearbeitet, Willing hatte Kilkis notiert, das ist eine Verwaltungsebene darunter)
402;B 30 0317246;;1;1;0;0;
403;B 10 1021802;;13;10;8;0;Wiki: Institutionelles Herbar ist angegeben, Sammler/in ist angegeben/ nicht angegeben -> Kein Eintrag im Feld „Herbar von“, Herbarium Anchieta wurde 1932 im Colégio Anchieta, Porto Alegre, RS, von Balduíno Rambo gegründet, daher das Akronym PACA (Porto Alegre, Colégio Anchieta). Derzeit ist er am Anchietano Research Institute/UNISINOS, São Leopoldo, RS.
404;B 10 1176418;;1;1;0;1;
405;B 10 1022984;;1;1;0;0;
406;B 10 1039155;;12;9;7;0;Im Fundort taucht mitten im Text ein Begriff in spitzen Klammern auf: „<oriensis>“,  obwohl in keinem Beitrag diese Eingabe gemacht wurde (auch im original CSV der validen Antworten nicht vorhanden)
407;B 10 1025745;;7;5;9;0;Unentscheidbar, Leitfadenlücke Straßenbaum, die Art ist in Nordamerika heimisch, somit offenbar kultiviert (Fundort Schlossplatz Karlsruhe), Koordinatenangabe ist okay, aber „cult.“ hätte ausgewählt werden müssen, auch wenn es nicht auf dem Etikett steht, Hinweis sollte ins Wiki
408;B 10 0121067;;9;7;2;0;Region ist aktuell „CD-LU  Lualaba“
409;B 10 1183569;;9;7;2;0;Region ist aktuell „Western Region“
410;B 30 0313217;;1;1;0;0;
411;B 10 1062819;;1;1;0;0;
412;B100778425;;1;1;0;0;
413;B 10 1064369;;1;1;0;1;Beispiel für hilfreiche Diskussion bezüglich Geolokalisierung
414;B 10 1026297;;1;1;0;0;
415;B 30 0311949;;1;1;0;0;
416;B 10 1064914;;1;1;0;0;Hinweis im Fundort auf „(flora von Trabezunt)“ wurde nur teilweise erkannt, Nichteingabefehler – Diskussion wäre hilfreich gewesen
417;B 30 0313623;;1;1;0;0;
418;B 30 0319572;;9;7;2;0;Region ist aktuell„FR-OCC Occitanie“
419;B 10 0095452;;2;2;7;0;Teil des Fundorts falsch und unlogisch: „nördl. von Abessinien“, korrekt: „Hochland v. Abessinien“, in JACQ gibt es weitere Belege vom selben Datum, die dies bezeugen. Nördlich von Abessinien lag die damals italienische Kolonie Eritrea, Morton hat jedoch in Äthiopien gesammelt.
420;B 10 0095452;;7;5;5;0;Unentscheidbar, ob Sammelnummer hätte eingetragen werden müssen und ob 4930 eine ist, vergleiche JACQ (https://www.jacq.org/detail.php?ID=1574727), Antwort Herbar: „Würde ich hinterfragen, ob das die Sammelnummer ist. Müßte man sich näher mit dem Herbar der Botanischen Station in Hallstatt bzw. mit Friedrich Morton beschäftigen, 4930 ist nachträglich gestempelt, könnte auch eine Herbarnummer von F. Morton und /oder eine Herbarnummer der Station in Hallstatt sein. Würde im Zweifelsfall in JACQ im Feld annotation die Angabe hinterlegen: Aufnahme-Nr. 4930“
421;B 10 1066888;;2;2;3;0;Sammeldatum wurde nicht erkannt, korrekt: 5. Januar 1962, Datum steht eindeutig auf Etikett (d.d. = de dato = vom Datum: 5. Januar) und Jahr lässt sich aus Titel ableiten (1962)
422;B 30 0311638;;8;6;7;0;Tippfehler „n“ hinter Angabe in Klammern zu viel
423;B 30 0311638;;11;8b;7;0;Vorrangfrage, erste Eingabe inkorrekt und validiert, zweite Eingabe ist korrekt
424;B 30 0310440;;9;7;2;0;Region ist aktuell „FR-BFC Bourgogne-Franche-Comté“
425;B 10 1023151;;1;1;0;0;
426;B 10 0293072;;2;2;5;0;Sammelnummer fehlt, steht sehr wahrscheinlich auf dem kleinen Schild direkt an der Pflanze („52“) – Vergleich mit JACQ legt dies nahe (Schwab, selbes Datum, Sammelnr. 47): https://image.bgbm.org/images/internal/HerbarThumbs/B101202930_1700
427;B 10 0482797;;1;1;0;0;
428;B 10 1005369;;1;1;0;0;
429;B 10 1040269;;1;1;0;0;
430;B 30 0314591;;8;6;7;0;Text verrutscht, sodass Bergname nicht mehr lesbar ist
431;B 30 0314591;;11;8b;7;0;Vorrangfrage, erste Eingabe inkorrekt und validiert, zweite Eingabe ist korrekt
432;B 10 1179476;;3;3a;9;1;Falsch lokalisiert, ehemaliges Zipser Comitat liegt weiter westlich, ebenso die Belaer Alpen (mind. 50 km, eher 70 km), ein Herbonaut hat es richtiger und auch in Diskussion erläutert, wie er darauf kam
433;B101199690;;1;1;0;0;
434;B101042132;;1;1;0;0;
435;B101199087;;13;10;4;1;Wiki: Ergänzungen, wie z.B. den kompletten Namen tragen Sie bitte NICHT in eckigen Klammern in das Feld, sondern nur in den Diskussionen ein, Beleg als Beispiel für Fehleranalyse (10/4): Ulleptisch, steht nicht als Sammler auf dem Etikett, aber mit JACQ und der Anmerkung von Wagner auf dem Beleg, ist es ziemlich klar der Sammler, Kästchen „das habe ich abgeleitet“ wäre hilfreich
436;B101122477;;2;2;7;0;Falsche Eingabe einer Wildherkunft im Fundort, da nur die Heimat der Pflanze auf dem Etikett erwähnt wird, aber nichts über die ursprüngliche Aufsammlung (von wem, wann, wo).
437;B101122477;;5;3c;9;0;Ungenau lokalisiert, mit < 20 km obwohl die Fundortbeschreibung eine sehr genaue Lokalisierung zulässt, 10 km von korrekt entfernt, von 1 Person korrekt lokalisiert, aber siehe Validierungsproblem 
438;B101122477;;11;8b;9;0;Vorrangfrage, erste Eingabe ungenau und validiert (trotz <20 km Angabe), korrektere Koordinaten später eingegeben (mit <1 km Ungenauigkeitsradius)
439;B 10 1178346;;9;7;2;0;Region ist aktuell „FR-ARA Auvergne-Rhône-Alpes“
440;B 10 1181531;;1;1;0;0;
441;B100680518;;1;1;0;0;
442;B 10 1023081;;1;1;0;0;
443;B 10 0213434;;1;1;0;0;
444;B 10 0048863;;2;2;3;0;Tag wurde falsch eingegeben, korrekt: Spanne 1. August – 31. August 1993
445;B 10 1062705;;1;1;0;0;
446;B101123019;;7;5;2;1;Unentscheidbar, da Etikett widersprüchlich, Karibib liegt in der Region Erongo, näher am Rand der Namib (Namibrand), Otjosondu in der Region Otjozondjupa, auch nach intensiver Recherche lässt sich nicht klar feststellen, was Seydel hier meint (gbif, JACQ), siehe auch „B 10 1185813“ 
447;B101123019;;4;3b;9;1;Unnötig lokalisiert, da widersprüchliche Etikettenangaben zum Fundort (Region unentscheidbar), zwischen Karibib und Otjosondu liegen Luftlinie 100 km
448;B101213052;;1;1;0;0;
449;B101212118;;1;1;0;0;Frage zu Bleistiftnotizen von Herbarseite am Rande, (hier: CSSR – anderes Land als von den Herbonauten eingetragen) ist von Herbarseite beim Inserieren aufgebracht, heißt nicht, dass hier tiefere Kenntnis oder Recherche vorlag, deshalb besser Polen nehmen, da die Herbonauten sehr gut recherchieren (aus AntwortenFragenHerbar4.xlsx)
450;B 10 1183555;;3;3a;9;0;Fehlerhaft übertragene Latitude, von daher ist die Lokalisierung ca. 120km vom eigentlich beschriebenen Fundort entfernt. Auf dem Etikett steht es zweimal ähnlich (2°37‘N bzw. 2°40‘N) und übertragen wurde 3.66, obwohl auch die textuelle Beschreibung mit „SSW of …“ Hinweise gibt. Die Korrekten Korrdinaten sind: 02.61667°, 040.88333°
451;B 10 1064889;;7;5;3;1;Unentscheidbar, da berechtigte Zweifel am Sammelmonat, die in der Diskussion erörtert werden, gutes Beispiel für Diskussion und Umgang mit Unsicherheiten
452;B 10 1178919;;1;1;0;1;
453;B 30 0318350;;9;7;2;0;Region ist aktuell„FR-OCC Occitanie“
454;B101040297;;1;1;0;0;
455;B 10 1027537;;1;1;0;0;
456;B101125427;;13;10;6;0;Wiki: Ergänzungen, wie z.B. den kompletten Namen tragen Sie bitte NICHT in eckigen Klammern in das Feld, sondern nur in den Diskussionen ein
457;B101212670;;1;1;0;1;
458;B 10 1027233;;8;6;7;0;Tippfehler in der Lagebeschreibung: „0,3 m“ statt „0,3 km“
459;B 10 1183919;;2;2;4;0;Sammler unvollständig, „T. Leyens“ fehlt
460;B 10 1183919;;2;2;5;0;Sammelnummer falsch, korrekt: „2663“, nicht „2662“
461;B 10 0413572;;2;2;7;0;Das Wort „Bucht“ in der Fundortangabe vergessen.
462;B 10 0413572;;6;4;7;0;Land und Region im Fundort überflüssig
463;B 10 1179644;;7;5;4;0;Unentscheidbar, da Schrift sehr schwer lesbar und Sammler für mich auch nach intensiver Recherche nicht identifizierbar, keine Diskussion trotz 11 beteiligter Herbonauten, Angabe „Ich bin mir nicht sicher“ wurde mehrfach genutzt
464;B 30 0313901;;13;10;4;0;Wiki: Namenszusätze, Titel oder andere ergänzende Angaben werden in der Regel nicht zum Namen notiert (Prof. = Amtsbezeichnung)
465;B 10 1065391;;1;1;0;0;
466;B 10 1023237;;1;1;0;0;Sample ist Beispiel für die Frage nach einer Veränderung/Anleitung für Foto-Belege in JACQ, siehe Voucher_ID B101027987
467;B101213074;;1;1;0;0;
468;B101196840;;1;1;0;0;
469;B101073031;;1;1;0;0;
470;B 10 0021968;;1;1;0;0;
471;B101200075;;4;3b;9;0;Unnötig lokalisiert, korrekt wäre „Beleg kann nicht lokalisiert werder“, denn die Angabe „Berlin, in Gärten“ lässt keine sinnvolle Geolokalisierung zu, siehe auch AntwortenFragenHerbar4.xlsx
472;B101091218;;1;1;0;1;
473;B 30 0316487;;2;2;2;0;Region sollte „GB-HLD Highland“ sein, nicht „GB-AGB Argyll and Bute“
474;B 30 0316487;;13;10;7;0;Wiki: Habitatsbeschreibungen gehören mit in den Fundort. Der Teil „Basaltklippen und Heidemoore“ fehlt im Fundort.
