specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;region2 - region;region2 - guessed;region2 - not_sure;region2 - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collector - collector;collector - other_collectors;collector - not_sure;collector - no_info;collect_number - ;collect_number - no_info;owner - question_1;owner - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;geo4 - position;geo4 - description;geo4 - not_sure;geo4 - no_info;scientific_name - scientific_name;geo - position;geo - radius;geo - description;geo - not_sure;geo - no_info
B;Herbarium Berolinense;B 10 0675101;6;7214637;ACANTHACEAE;Lepidagathis;sp.;;Tansania;False;;;;Kigoma;;;;18/02/1926 - 18/02/1926;False;False;;;;;A. Peter;;False;;;;;37058;False;A. Peter, Reisen in Afrika 1925/26;False;;;True;Deutsch Ost Afrika [sic!], Ujiji: Machaso [Matiazo] bei Kigoma, c. 840 m ü. M.;False;;;;;;;-4.8914469 , 29.7544697;;;;False
B;Herbarium Berolinense;B 10 0675100;6;7214637;ACANTHACEAE;Lepidagathis;sp.;;Tansania;False;;;;Kigoma;;;;19/02/1926 - 19/02/1926;False;False;;;;;A. Peter;;False;;;;;37128;False;A. Peter, Reisen in Afrika 1925/26;False;;;True;Deutsch-Ost Afrika [sic!], Ujiji: Machaso → Mkuti Fluss. c. 840-960 m ü. M., V.2 Z.2;False;;;;;;;-4.9 , 29.75;;;;
B;Herbarium Berolinense;B 10 0514137;6;7214637;ACANTHACEAE;Lepidagathis;sp.;;Tansania;False;;;;Kigoma;;;;22/02/1926 - 22/02/1926;False;False;;;;;A. Peter;;False;;;;;46255;False;A. Peter, Reisen in Afrika 1925/26;False;;;True;D Ost Afrika [sic!], Uha: Bagaga [Bugaga] → Kassulo [Kasulo]. 1260-1350 m ü. M.;False;;;;;;;-4.655803576148712 , 30.077304840087894;;;;
B;Herbarium Berolinense;B 10 0514117;6;7214637;ACANTHACEAE;Lepidagathis;sp.;;Tansania;False;;;;Tanga;;;;11/06/1926 - 11/06/1926;False;False;;;;;A. Peter;;False;;;;;46637;False;A. Peter, Reisen in Afrika 1925/26;False;;;True;D Ost Afrika [sic.!], W Usambara: Buiko nordwestlich -> Hedaru hin. c. 550 m ü. M.;False;;;;;;;-4.59864 , 37.98594;;;;False
B;Herbarium Berolinense;B 10 0643042;6;7214637;ACANTHACEAE;Lepidagathis;sp.;;Tansania;False;;;;Kigoma;;;;21/03/1926 - 21/03/1926;False;False;;;;;A. Peter;;False;;;;;38998;False;A. Peter, Reisen in Afrika 1925/26;False;;;True;Deutsch-Ost Afrika [sic!], Ujiji: Kandaga → den See. c. 950 m ü. M, V.2 Z.1-2;False;;;;;;;-4.94427962788051 , 29.829082489013675;;;;False
B;Herbarium Berolinense;B 10 0675701;6;7214637;ACANTHACEAE;Lepidagathis;sp.;;Tansania;False;;;;Kigoma;;;;01/02/1926 - 01/02/1926;False;False;;;;;A. Peter;;False;;;;;35979;False;A. Peter, Reisen in Afrika 1925/26;False;;;True;Deutsch-Ost Afrika [sic!], Uvinsa: westlich von Malagarassi, Grassteppe km 1084 bis 1087.5. c. 1060 m ü. M.;False;;;;;;;-5.084 , 30.798;;;;
B;Herbarium Berolinense;B 10 1183760;6;7214637;ACANTHACEAE;Lophostachys;sp.;;Brasilien;False;;;;Bahia;;;;15/04/1983 - 15/04/1983;False;False;;;;;André M. de Carvalho, B. Leuenberger et L. A. Mattos Silva;;False;;;;;1739;False;;True;Thomas F. Daniel;;False;Município de Caetité. km 6 da estrada Caetité/ Brejinho das Amestitas. Campos Gerais. Alt. 1100 m/ s.m.;False;;;;;;;-14.061322027139509 , -42.48619079589844;;;;False
B;Herbarium Berolinense;B 10 0677141;6;7214637;ACANTHACEAE;Thunbergia;sp.;;Tansania;False;;;;Tanga;;;;01/06/1917 - 01/06/1917;False;False;;;;;A. Peter;;False;;;;;60532;False;A. Peter, Reisen in Afrika 1913/16;False;;;True;D Ost Afrika, O Usambara, Ngonja: Marimba ➔ Maramba, c. 250 m ü. M.;False;;;;;;;-4.8697113000000005 , 38.80190006616101;;;;
B;Herbarium Berolinense;B 10 1183641;6;7214637;ACANTHACEAE;Kalbreyeriella;rostellata;;Kolumbien;False;;;;Caldas;;;;01/04/1946 - 01/04/1946;False;False;;;;;Kjell von Sneidern;;False;;;;;5293;False;;True;E. C. Leonard;;False;La Selva. Cordillera Occidental. Vertiente Occidental. 1600-1900 m.;False;;;;;;;5.563369 , -74.8900898;;;;False
B;Herbarium Berolinense;B 10 1183674;6;7214637;ACANTHACEAE;Lepidagathis;alopecuroidea;;Brasilien;False;;;;Mato Grosso;;;;01/01/1899 - 31/12/1899;False;False;;;;;Pilger;;False;;;;;697;False;;True;;;True;;;True;;;;;;;;;;True
B;Herbarium Berolinense;B 10 1183670;6;7214637;ACANTHACEAE;Lepidagathis;alopecuroidea;;Mexiko;False;;;;Chiapas;;;;25/02/1985 - 25/02/1985;False;False;;;;;E. Martínez S.;;False;;;;;11364;False;;True;F. Ramos M.;;False;En Campamento COFOLASA a 24 km al SE de Crucero Corozal camino a Boca Lacantum. Mpio. Ococingo. Altitud: 220 m. s. n. m. Veg. Selva media y baja subcaducifolia;False;;;;;;;16.651364867131612 , -90.80118656158447;;;;False
B;Herbarium Berolinense;B 10 1068702;6;7214637;ACANTHACEAE;Indet;(ACANT);;Indien;False;;;;Maharashtra;;;;21/12/1986 - 21/12/1986;False;False;;;;;H.-J. Flügel;;False;;;;;1008;False;;True;;;True;Mahabaleshwar, West-Ghats. Feuchte Quellflur, z. T. im Wasser wachsend;False;;;;;;;17.9242764 , 73.6575799;;;;False
B;Herbarium Berolinense;B 10 1068691;6;7214637;ACANTHACEAE;Indet;(ACANT);;Indonesien;False;;;;North Sumatra;;;;08/08/1976 - 08/08/1976;False;False;;;;;;;True;;;;;;True;W. Schwabe;False;;;True;am Danau Toba-See, Toba-Schlucht;False;;;;;;;2.4752733731473158 , 99.19006347656251;;;;False
B;Herbarium Berolinense;B 10 1068714;6;7214637;ACANTHACEAE;Indet;(ACANT);;Nepal;;;;False;Gandaki;;;False;06/03/1974 - 07/03/1974;;;;;;;;;True;;;;;;True;W. Schwabe;;;;True;bei Pokhara;;False;;;;;;28.21445356931934 , 83.9943838119507;;;;
B;Herbarium Berolinense;B 10 0472190;6;7214637;ACANTHACEAE;Indet;(ACANT);;China;False;;;;Chongqing(重庆);;;;03/10/1898 - 03/10/1898;False;False;;;;;Farges;;False;;;;;1454;False;;True;;;True;(Su-tchuen oriental.) District de Tchen-Kéou-Tin. Herbe, croit sur les rochers à Mou Koua Keou prés de Tchen Keou Tin, alt. 1200 m;;False;;;;;;31.956068054437303 , 108.6695909500122;;;;False
B;Herbarium Berolinense;B 10 1068750;6;7214637;ACANTHACEAE;Indet;(ACANT);;Taiwan;;;;False;Nantou County(南投縣);;;False;06/09/1981 - 06/09/1981;;;;;;;;;True;;;;;;True;W. Schwabe;;;;True;Sun Moon Lake?;;False;;;;;;23.869039556577434 , 120.91397608845591;;;;
B;Herbarium Berolinense;B 10 1183694;6;7214637;ACANTHACEAE;Lepidagathis;collina;;Togo;False;;;;Savannes;;;;20/11/1980 - 20/11/1980;False;False;;;;;P. K. Eguchi;;False;;;;;2079;False;;True;E. Raadts;;False;Zone I, Umgebung von Dapango;False;;;;;;;10.8595454 , 0.2043122;;;;False
B;Herbarium Berolinense;B 10 1183691;6;7214637;ACANTHACEAE;Lepidagathis;collina;;Togo;;;;False;Kara;;;False;10/05/1978 - 10/05/1978;;;;;;;M. Hakki, B. Leuenberger et C. Schiers;;;;;;;918;;;True;Raadts;;;Kpagouda, Lateritkrusten in der Umgebung des Motels;;False;;;;;;9.7525 , 1.3277777777777777;;;;
B;Herbarium Berolinense;B 10 1183690;6;7214637;ACANTHACEAE;Lepidagathis;cinerea;;Philippinen;False;;;;Benguet;;;;01/02/1925 - 28/02/1925;False;False;;;;;M. Ramos, G. Edano;;False;;;;;45023;False;;True;;;True;Mt. Pulog, Province Luzon;;False;;;;;;16.600003754853788 , 120.89904785156251;;;;False
B;Herbarium Berolinense;B 10 1183720;6;7214637;ACANTHACEAE;Lepidagathis;lanatoglabra;;Tansania;False;;;;Mbeya;;;;03/07/1912 - 03/07/1912;False;False;;;;;A. Stolz;;False;;;;;1420;False;Rudolf Gross;False;;;True;Nyassa Hochland - Station Kyimbila, Seehöhe 1200 Meter;False;;;;;;;-9.2833 , 33.65;;;;False
B;Herbarium Berolinense;B 10 1183708;6;7214637;ACANTHACEAE;Lepidagathis;hamiltoniana;;Indien;False;;;;Madhya Pradesh;;;;12/09/1956 - 12/09/1956;False;False;;;;;Hira Lal & Party;;False;;;;;32132;False;;True;;;True;Bhopal;False;;;;;;;23.25664207374768 , 77.41224288940431;;;;False
B;Herbarium Berolinense;B 10 1183702;6;7214637;ACANTHACEAE;Lepidagathis;epacridea;;Elfenbeinküste;False;;;;Zanzan;;;;18/09/1967 - 18/09/1967;False;False;;;;;C. Geerling et J. Bokdam;;False;;;;;948;False;;True;G. J. H. Amshoff;;False;40 km. NW of Bouna. Lateritic plain.;False;;;;;;;9.566666666666666 , -3.2333333333333334;;;;False
B;Herbarium Berolinense;B 10 1184373;6;7214637;ACANTHACEAE;Strophacanthus;dichotomus;;Indonesien;;;;False;South Sulawesi;;;False;20/04/1921 - 20/04/1921;;;;;;;Bünnemeyer;;;;;;;11070;;;True;Beumée;;;Z. W. Selébès. Lombasang. ± 950 m.;;False;;;;;;-5.261734446873049 , 119.8517417907715;;;;
B;Herbarium Berolinense;B 10 1184387;6;7214637;ACANTHACEAE;Tetramerium;nervosum;;Mexiko;False;;;;Yucatán;;;;;;True;;;;;G. F. Gaumer;;False;;;;;2342;False;;True;Thomas F. Daniel;;False;Calotmul;False;;;;;;;21.016893491618458 , -88.17729949951172;;;;False
B;Herbarium Berolinense;B 10 1184386;6;7214637;ACANTHACEAE;Tetramerium;nervosum;;Mexiko;False;;;;Yucatán;;;False;01/03/1917 - 31/03/1917;False;False;;;;;Geo. F. Gaumer;;;;;;;23592;;;True;Thomas F. Daniel;;;S. Kancabdzonot;False;;;;;;;20.49970744774155 , -88.71528625488283;;;;False
B;Herbarium Berolinense;B 10 1184411;6;7214637;ACANTHACEAE;Thomandersia;laurifolia;;Demokratische Republik Kongo;False;;;;Équateur;;;;01/01/1936 - 31/12/1936;False;False;;;;;Leemans;;False;;;;;53;False;;True;;;True;Eala (Congo belge);False;;;;;;;0.053906 , 18.3295344;;;;False
B;Herbarium Berolinense;B 10 0013608;6;7214637;ACANTHACEAE;Thomandersia;butayei;;Gabun;False;;;;Ogooué-Maritime;;;;23/09/1968 - 23/09/1968;False;False;;;;;F. J. Breteler and R. A. van Raalte;;False;;;;;5663;False;;True;G. J. H. Amshoff;;False;Gamba. Sunny spot in primary forest.;False;;;;;;;-2.7666666666666666 , 10.033333333333333;;;;False
B;Herbarium Berolinense;B 10 1186735;6;7214637;ACANTHACEAE;Thunbergia;alata;;Ruanda;;;;False;Est;;;False;18/08/1974 - 18/08/1974;;;;;;;P. Van der Veken;;;;;;;10870;;;True;;;True;Rusomo, collines en amont des chut près de l'Akagera, Altitude: ± 1500 m, Préfecture: Kibungo, savane à Hyparrhenia (10850), Beckerops Setaria kagerensis, Andropogon duemmeri, Acacia gerrardii, Lannea schimperi etc.;;False;;;;;;-2.3819734731056967 , 30.801887512207035;;;;
B;Herbarium Berolinense;B 10 0685316;6;7214637;ACANTHACEAE;Thunbergia;alata;;Tansania;;;;False;Morogoro;;;False;13/11/1914 - 13/11/1914;;;;;;;A. Peter;;;;;;;60033;;A. Peter, Reisen in Afrika 1913-15;;;;True;D Ost Afrika, Uluguru: Mission Schlesien über Morogoro, c. 1300 m ü. M.  Z.3;;False;;;;;;-6.8836949683703095 , 37.65512466430665;;;;
B;Herbarium Berolinense;B 10 0685315;6;7214637;ACANTHACEAE;Thunbergia;alata;;Tansania;False;;;;Morogoro;;;False;13/11/1914 - 13/11/1914;False;False;;;;;A. Peter;;False;;;;;60033;False;A. Peter, Reisen in Afrika 1913-1915;False;;;True;D Ost Afrika, Uluguru: Mission Schlesien über Morogoro, c. 1300 m ü. M.  Z. 3;;False;;;;;;-6.884 , 37.655;;;;
B;Herbarium Berolinense;B 10 0544029;6;7214637;ACANTHACEAE;Thunbergia;alata;;Tansania;False;;;;Morogoro;;;;02/11/1914 - 02/11/1914;False;False;;;;;A. Peter;;False;;;;;60030;False;A. Peter, Reisen in Afrika 1913-1915;False;;;True;D Ost Afrika, Uluguru: Mission Schlesien → Luhungo, über Morogoro, c. 1350 m ü. M., Z.3;False;;;;;;;-6.8800734455292 , 37.6763677597046;;;;False
B;Herbarium Berolinense;B 10 1186719;6;7214637;ACANTHACEAE;Thunbergia;alata;;Tansania;;;;False;Songwe;;;;22/06/1960 - 22/06/1960;;;;;;;L. C. Leach & T. Brunton;;;;;;;10100;;;True;;;True;Tanganyika, 17 miles NE of Tunduma. Stream bank;;False;;;;;;-9.3101642 , 32.767525;;;;
B;Herbarium Berolinense;B 10 1186714;6;7214637;ACANTHACEAE;Thunbergia;alata;;Tansania;;;;False;Kagera;;;False;23/02/1959 - 23/02/1959;;;;;;;R. E. S. Tanner;;;;;;;4543;;;True;;;True;Tanganyika, Kirushya, Bugufi, Ngara, West Lake Prov. 5000 ft. Alt. over grass in light forest.;;False;;;;;;-2.45944 , 30.55493;;;;
B;Herbarium Berolinense;B 10 1186713;6;7214637;ACANTHACEAE;Thunbergia;alata;;Tansania;False;;;;Mwanza;;;;24/04/1952 - 24/04/1952;False;False;;;;;R. E. S. Tanner;;False;;;;;694;False;;True;;;True;Tanganyika: Mwanza Lake Prov., 3900 ft.;False;;;;;;;;;;;True
B;Herbarium Berolinense;B 10 1186722;6;7214637;ACANTHACEAE;Thunbergia;alata;;Tansania;False;;;;Tanga;;;;06/05/1953 - 06/05/1953;False;False;;;;;R. B. Drummond and J. H. Hemsley;;False;;;;;2418;False;;True;;;True;Tanganyika: Lushoto District, Baga-Soni road, 1 mile N. of Sakarani, W. Usambaras. 1600 m.;False;;;;;;;-4.801322014746456 , 38.403997421264656;;;;False
B;Herbarium Berolinense;B 10 1184458;6;7214637;ACANTHACEAE;Thunbergia;fragrans;;Deutschland;True;;;False;Berlin;;;False;01/01/1816 - 31/12/1816;False;;;;;;;;True;;;;;;True;Ruthe;;;;True;Hort. Berol.;;False;;;;;;52.492162449999995 , 13.359110752262026;;;;
B;Herbarium Berolinense;B 10 1184445;6;7214637;ACANTHACEAE;Thunbergia;erecta;;Indien;True;;;False;Uttarakhand;;;False;11/08/1949 - 11/08/1949;;;;;;;Dardan Mani;;;;;;;;True;;True;;;True;Cultivated plant, Fruticetum, F. R. I., Dehra Dun;;False;;;;;;30.34295413059721 , 77.99142837524415;;;;
B;Herbarium Berolinense;B 10 1068604;6;7214637;ACANTHACEAE;Indet;(ACANT);;Zentralafrikanische Republik;;;;False;Nana-Mambéré;;;False;12/01/1914 - 12/01/1914;;;;;;;J. Elbert;;;;;;;295;;;True;;;True;Ost-Kamerun: O. Sanga-Uam Bega b/Buala, Grasland.;;False;;;;;;6.267522831839373 , 15.595092773437502;;;;
B;Herbarium Berolinense;B 10 1068681;6;7214637;ACANTHACEAE;Indet;(ACANT);;Papua-Neuguinea;False;;;;Oro;;;False;25/03/1936 - 25/03/1936;;;;;;;C. E. Carr;;False;;;;;16235;False;;True;;;True;Papua. Kokoda. Forest. 1200 feet;False;;;;;;;-8.8783894 , 147.7365453;;;;False
B;Herbarium Berolinense;B 10 1068676;6;7214637;ACANTHACEAE;Indet;(ACANT);;Papua-Neuguinea;False;;;;Morobe;;;;24/12/1937 - 24/12/1937;False;False;;;;;M. S. Clemens;;False;;;;;8003A;False;;True;;;True;Sio mission, gully in arid grassland. Altitude above sea: low;False;;;;;;;-5.9551 , 147.353;;;;False
B;Herbarium Berolinense;B 10 1068673;6;7214637;ACANTHACEAE;Indet;(ACANT);;Papua-Neuguinea;;;;False;Morobe;;;False;12/11/1968 - 12/11/1968;;;;;;;;;True;;;;;;True;W. Schwabe;;;;True;Lae;;False;;;;;;-6.7301976 , 147.0008109;;;;
B;Herbarium Berolinense;B 10 1183518;6;7214637;ACANTHACEAE;Justicia;tenella;;Tansania;;;;False;Morogoro;;;False;01/06/1931 - 30/06/1931;;;;;;;H. J. Schlieben;;;;;;;1151;;;True;;;True;Tanganjika Terr., Stromgebiet des Ruhudje, Landschaft Massagati, nördlich des Flusses, ca. 35°30' E.;;False;;;;;;-9.01667 , 35.65;;;;
B;Herbarium Berolinense;B 10 0013035;6;7214637;ACANTHACEAE;Justicia;sp.;;Südafrika;;;;False;Limpopo;;;False;11/05/1991 - 11/05/1991;;;;;;;K. Balkwill & M-J. Balkwill;;;;;;;6418;;;True;K. Balkwill;;;Transvaal, Soutpansberg District, On the crest of the Soutpansberg. On the farm Swarthoek. Walk to waterfall. Alt.: 1500 m;;False;;;;;;-22.97892066294491 , 29.861311912536625;;;;
B;Herbarium Berolinense;B 10 0013032;6;7214637;ACANTHACEAE;Justicia;sp.;;Südafrika;False;;;False;Limpopo;;;False;26/06/1990 - 26/06/1990;;;;;;;K. Melville;;;;;;;15;;;True;K. Melville;;;Transvaal, Soutpansberg District, On the crest of the Soutpansberg. On the farm Swarthoek. Near house. Alt.: 1500 m. Rocky outcrop.;;False;;;;;;-22.989824601230797 , 29.877340793609623;;;;
B;Herbarium Berolinense;B 10 1183609;6;7214637;ACANTHACEAE;Justicia;sp.;;Mexiko;False;;;;Guerrero;;;;03/11/1937 - 03/11/1937;False;False;;;;;Ynes Mexia;;False;;;;;8732;False;;True;Thomas F. Daniel;;False;"Sierra Madre del Sur, north of Rio Balsas, Distrito Adama, Temisco; Barranca El Salto; undergrowth; wooded slope. Alt. 350 m.";False;;;;;;;18.14267082265038 , -100.21140575408937;;;;False
B;Herbarium Berolinense;B 10 1183604;6;7214637;ACANTHACEAE;Justicia;sp.;;Paraguay;;;;False;Presidente Hayes;;;False;07/02/1879 - 07/02/1879;;;;;;;P. G. Lorentz;;;;;;;40;;;True;;;True;Prope Villa occidental [Villa Hayes];;False;;;;;;-25.093372169473277 , -57.509994951746634;;;;
B;Herbarium Berolinense;B 10 1068626;6;7214637;ACANTHACEAE;Indet;(ACANT);;Simbabwe;;;;False;Harare;;;False;06/12/1913 - 06/12/1913;;;;;;;A. Peter;;;;;;;51091;;A. Peter, Reisen in Afrika 1913/19;;;;True;S Rhodesia: bei Salisbury [Harare].;;False;;;;;;-17.825182114522708 , 31.147655643603187;;;;
B;Herbarium Berolinense;B 10 1068623;6;7214637;ACANTHACEAE;Indet;(ACANT);;Simbabwe;False;;;;Manicaland;;;;15/09/1925 - 15/09/1925;False;False;;;;;A. Peter;;False;;;;;30950;False;A. Peter, Reisen in Afrika 1925/26;False;;;True;"Süd-Rhodesia. Umtali: Felshügel ""Koppje"" nördlich der Stadt.";False;;;;;;;-18.9793185 , 32.6975733;;;;
B;Herbarium Berolinense;B 10 1068622;6;7214637;ACANTHACEAE;Indet;(ACANT);;Simbabwe;;;;False;Manicaland;;;False;15/09/1925 - 15/09/1925;;;;;;;A. Peter;;;;;;;30915;;A. Peter, Reisen in Afrika 1925/26;;;;True;"Süd-Rhodesia Umtali: Felshügel ""Kopje"" nördlich der Stadt";;False;;;;;;-18.9786 , 32.6978;;;;
B;Herbarium Berolinense;B 10 1068616;6;7214637;ACANTHACEAE;Indet;(ACANT);;Simbabwe;;;;False;Manicaland;;;False;01/09/1925 - 01/09/1925;;;;;;;A. Peter;;;;;;;30578;;A. Peter, Reisen in Afrika 1925/26;;;;True;Süd-Rhodesia, Umtali: in den Vumba Bergen, in einem Bachtal.;;False;;;;;;-18.972532648000133 , 32.772562344182376;;;;
B;Herbarium Berolinense;B 10 1068612;6;7214637;ACANTHACEAE;Indet;(ACANT);;Simbabwe;False;;;;Manicaland;;;;31/08/1925 - 31/08/1925;False;False;;;;;A. Peter;;False;;;;;30528;False;;True;;;True;Süd - Rhodesia,  Umtali > Christmas Pass;False;;;;;;;-18.944872403761273 , 32.63324618339539;;;;False
B;Herbarium Berolinense;B 10 1068611;6;7214637;ACANTHACEAE;Indet;(ACANT);;Mosambik;;;;False;Sofala;;;False;30/08/1925 - 30/08/1925;;;;;;;A. Peter;;;;;;;30521;;A. Peter, Reisen in Afrika 1925/26;;;;True;Mossambik, Manga bei Beira.;;False;;;;;;-19.770903428529415 , 34.8860584036578;;;;
B;Herbarium Berolinense;B 10 1068609;6;7214637;ACANTHACEAE;Indet;(ACANT);;Mosambik;False;;;;Sofala;;;;28/09/1925 - 28/09/1925;False;False;;;;;A. Peter;;False;;;;;31157;False;A. Peter, Reisen in Afrika 1925/26;False;;;True;Beira: Mezimbiti → Dondo längs der Eisenbahn, Wald. V.1 Z.1;False;;;;;;;-19.583333333333332 , 34.71666666666667;;;;False
B;Herbarium Berolinense;B 10 1068608;6;7214637;ACANTHACEAE;Indet;(ACANT);;Mosambik;False;;;;Sofala;;;;24/09/1925 - 24/09/1925;False;False;;;;;A. Peter;;False;;;;;31083;False;;True;;;True;Mossambik: Beira ➔ den Leuchtturm;False;;;;;;;-19.828707 , 34.841782;;;;False
B;Herbarium Berolinense;B 10 1068607;6;7214637;ACANTHACEAE;Indet;(ACANT);;Mosambik;;;;False;Sofala;;;False;27/09/1925 - 27/09/1925;;;;;;;A. Peter;;;;;;;31124;;A. Peter, Reisen in Afrika 1925/26;False;;;True;Beira: in Manga auf Sandboden.;False;;;;;;;-19.767026644695395 , 34.90596771240235;;;;
B;Herbarium Berolinense;B 10 1068667;6;7214637;ACANTHACEAE;Indet;(ACANT);;Malawi;False;;;;Karonga;;;;19/12/1964 - 19/12/1964;False;False;;;;;E. A. Robinson;;False;;;;;6313;False;;True;;;True;Mafinga foothills, NE slopes. Edge of dambo;False;;;;;;;-9.958029972336426 , 33.51928710937501;;;;False
B;Herbarium Berolinense;B 10 1068701;6;7214637;ACANTHACEAE;Indet;(ACANT);;Indien;False;;;;Maharashtra;;;;21/12/1986 - 21/12/1986;False;False;;;;;H.-J. Flügel;;False;;;;;1008;False;;True;;;True;Mahabaleshwar, West-Ghats, Feuchte Quellflur, z. T. im Wasser wachsend;False;;;;;;;17.93251899755133 , 73.66058349609376;;;;False
B;Herbarium Berolinense;B 10 1068737;6;7214637;ACANTHACEAE;Indet;(ACANT);;Thailand;False;;;;Chiang Mai(เชียงใหม่);;;;13/10/1966 - 13/10/1966;False;False;;;;;;;True;;;;;;True;W. Schwabe;False;;;True;bei Chiang Mai;False;;;;;;;18.79419288170819 , 98.94321441650392;;;;False
B;Herbarium Berolinense;B 10 0352594;6;7214637;ACANTHACEAE;Indet;(ACANT);;Costa Rica;False;;;;Limón;;;;08/03/1992 - 08/03/1992;False;False;;;;;Jens Bittner;;False;;;;;1482;False;Jens Bittner;False;;;True;Cantón de Talamanca, Camp by Kivut. 1300-1400 m;False;;;;;;;9.404166666666667 , -83.08472222222221;;;;False
B;Herbarium Berolinense;B 10 0614872;6;7214637;ACANTHACEAE;Indet;(ACANT);;Costa Rica;;;;False;Limón;;;False;08/03/1990 - 08/03/1990;;;;;;;P. Hiepko;;;;;;;3319;;;True;;;True;Umgebung von Cahuita, Wegrand zwischen Weideland.;;False;;;;;;9.733333333333333 , -82.85;;;;
B;Herbarium Berolinense;B 10 1068795;6;7214637;ACANTHACEAE;Indet;(ACANT);;Brasilien;;;;False;Rio de Janeiro;;;False;01/10/1933 - 31/10/1933;;;;;;;Brade;;;;;;;12794;;;True;;;True;Rio Trapicheiro;;False;;;;;;-22.904145925881938 , -43.2099445808526;;;;
B;Herbarium Berolinense;B 10 1068794;6;7214637;ACANTHACEAE;Indet;(ACANT);;Brasilien;;;;False;Rio de Janeiro;;;False;24/05/1935 - 24/05/1935;;;;;;;Brade;;;;;;;14542;;;True;;;True;Itatiaia. Rio Bonito. 900 ms.;;False;;;;;;-22.43948996268021 , -44.58320617675782;;;;
B;Herbarium Berolinense;B 10 1068793;6;7214637;ACANTHACEAE;Indet;(ACANT);;Brasilien;;;;False;Rio de Janeiro;;;False;01/10/1933 - 31/10/1933;;;;;;;Brade;;;;;;;12904;;;True;;;True;Serra da Carioca;;False;;;;;;;;;;True
B;Herbarium Berolinense;B 10 1068787;6;7214637;ACANTHACEAE;Indet;(ACANT);;Brasilien;False;;;;Rio de Janeiro;;;;25/12/1928 - 25/12/1928;False;False;;;;;C. Porto;;False;;;;;1850;False;;True;;;True;Itatiaia & Maromba;False;;;;;;;;;;;True
B;Herbarium Berolinense;B 10 0029805;6;7214637;ACANTHACEAE;Indet;(ACANT);;Französisch-Guayana;False;;;;(Guyane Française);;;;16/07/1973 - 16/07/1973;False;False;;;;;de Granville;;False;;;;;4977;False;;True;;;True;Rivière Petite Ouaqui. Saut Baille-Nom. Rive droite. Forêt sur flat.;False;;;;;;;3.1713888888888886 , -53.39083333333333;;;;False
B;Herbarium Berolinense;B 10 1068780;6;7214637;ACANTHACEAE;Indet;(ACANT);;Brasilien;False;;;;Rio de Janeiro;;;False;01/02/1936 - 29/02/1936;;False;;;;;A. C. Brade;;False;;;;;15045;False;;True;;;True;Est.[ate][  do Rio, Itatiaya.  Lote 25. 900 m;False;;;;;;;-22.459658373274642 , -44.563829898834236;;;;False
B;Herbarium Berolinense;B 10 0685309;6;7214637;ACANTHACEAE;Justicia;sp.;;Tansania;False;;;;Tanga;;;;09/06/1915 - 09/06/1915;False;False;;;;;A. Peter;;False;;;;;60186;False;A. Peter, Reisen in Afrika 1913-1915;False;;;True;D Ost Afrika, W Usambara: Mkumbara, Aufstieg → Schume. c. 500 m ü. M.;False;;;;;;;-4.749435416187554 , 38.180322647094734;;;;False
B;Herbarium Berolinense;B 10 0685310;6;7214637;ACANTHACEAE;Justicia;sp.;;Tansania;;;;False;Tanga;;;False;09/06/1915 - 09/06/1915;;;;;;;A. Peter;;;;;;;60186;;A. Peter, Reisen in Afrika 1913-15;False;;;True;D Ost Afrika, W Usambara: Mkumbara, Aufstieg ➔ Schume [Richtung NO], c. 500 m ü. M.;;False;;;;;;-4.759407746363496 , 38.18358421325684;;;;
B;Herbarium Berolinense;B 10 0675596;6;7214637;ACANTHACEAE;Justicia;sp.;;Tansania;False;;;;Arusha;;;;16/07/1926 - 16/07/1926;False;False;;;;;A. Peter;;False;;;;;42759;False;A. Peter, Reisen in Afrika 1925/26;False;;;True;Deutsch-Ost Afrika [sic!], Engaruka: Emugur Belekj → Oldonyo Nanjokj, Steintal. 800-815 m ü. M.  V.1  Z.1;False;;;;;;;-2.9917256470513127 , 35.962028503417976;;;;False
B;Herbarium Berolinense;B 10 0514172;6;7214637;ACANTHACEAE;Justicia;sp.;;Tansania;;;;False;Tabora;;;False;09/01/1926 - 09/01/1926;;;;;;;A. Peter;;;;;;;45863;;;True;;;True;D Ost Afrika, Ngulu: Malongwe ➔ Nyahua km 730 - 766, c. 1180 m ü. M.;;False;;;;;;-5.41966093399535 , 33.494396209716804;;;;
B;Herbarium Berolinense;B 10 1183584;6;7214637;ACANTHACEAE;Justicia;sp.;;China;False;;;;Hainan(海南);;;False;11/04/1933 - 11/04/1933;False;False;;;;;Lei, C. I.;;False;;;;;524;False;;True;E. D. Merrill;;False;"Tai Wong Ling and vicinity, Tung Pin Tin Village (Ching Mai District) Fairly common; dry steep slope, sandy soil, forest";False;;;;;;;19.7381177 , 110.0044422;;;;
